ID;productNumber;name;description;category_ID;supplier_ID;unitOfMeasure;basePrice;currency_code;taxRate;stockQuantity;minStockLevel;isActive
e1f0a1b0-0001-4000-8000-000000000001;PRD-001;ThinkPad X1 Carbon Gen 11;Business Ultrabook 14 Zoll, Intel Core i7, 16GB RAM, 512GB SSD;c1a0e1b0-0002-4000-8000-000000000001;d2b0e1c0-0001-4000-8000-000000000001;PCE;1899.00;EUR;19.00;45;10;true
e1f0a1b0-0002-4000-8000-000000000001;PRD-002;Dell UltraSharp U2722D;27 Zoll USB-C Hub Monitor, 4K UHD, IPS Panel;c1a0e1b0-0002-4000-8000-000000000001;d2b0e1c0-0001-4000-8000-000000000001;PCE;549.00;EUR;19.00;78;15;true
e1f0a1b0-0003-4000-8000-000000000001;PRD-003;iPhone 15 Pro 256GB;Apple Smartphone, A17 Pro Chip, Titan Gehäuse;c1a0e1b0-0003-4000-8000-000000000001;d2b0e1c0-0001-4000-8000-000000000001;PCE;1199.00;EUR;19.00;120;20;true
e1f0a1b0-0004-4000-8000-000000000001;PRD-004;iPad Pro 12.9 M2;Tablet mit M2 Chip, 256GB, WiFi + Cellular;c1a0e1b0-0003-4000-8000-000000000001;d2b0e1c0-0001-4000-8000-000000000001;PCE;1449.00;EUR;19.00;35;10;true
e1f0a1b0-0005-4000-8000-000000000001;PRD-005;Logitech MX Master 3S;Wireless Performance Maus, USB-C, Bluetooth;c1a0e1b0-0002-4000-8000-000000000001;d2b0e1c0-0001-4000-8000-000000000001;PCE;109.00;EUR;19.00;250;30;true
e1f0a1b0-0006-4000-8000-000000000001;PRD-006;Kopierpapier A4 500 Blatt;Premium Druckerpapier 80g/m², weiß;c1a0e1b0-0005-4000-8000-000000000001;d2b0e1c0-0002-4000-8000-000000000001;PCK;4.99;EUR;19.00;1500;200;true
e1f0a1b0-0007-4000-8000-000000000001;PRD-007;Ordner A4 breit 80mm;Aktenordner mit Hebelmechanik, 10er Pack;c1a0e1b0-0005-4000-8000-000000000001;d2b0e1c0-0002-4000-8000-000000000001;PCK;19.90;EUR;19.00;420;50;true
e1f0a1b0-0008-4000-8000-000000000001;PRD-008;Ergonomischer Bürostuhl Pro;Höhenverstellbar, Lordosenstütze, Armlehnen;c1a0e1b0-0006-4000-8000-000000000001;d2b0e1c0-0004-4000-8000-000000000001;PCE;449.00;EUR;19.00;28;5;true
e1f0a1b0-0009-4000-8000-000000000001;PRD-009;Höhenverstellbarer Schreibtisch;Elektrisch, 120x80cm, Memory-Funktion;c1a0e1b0-0006-4000-8000-000000000001;d2b0e1c0-0004-4000-8000-000000000001;PCE;699.00;EUR;19.00;15;5;true
e1f0a1b0-0010-4000-8000-000000000001;PRD-010;Microsoft 365 Business;Jahreslizenz pro Benutzer, Cloud-basiert;c1a0e1b0-0009-4000-8000-000000000001;d2b0e1c0-0005-4000-8000-000000000001;PCE;144.00;EUR;19.00;999;50;true
e1f0a1b0-0011-4000-8000-000000000001;PRD-011;Windows 11 Pro Lizenz;OEM Lizenz für Business PCs;c1a0e1b0-0008-4000-8000-000000000001;d2b0e1c0-0005-4000-8000-000000000001;PCE;179.00;EUR;19.00;500;30;true
e1f0a1b0-0012-4000-8000-000000000001;PRD-012;IT Support Stunde;Remote oder Vor-Ort IT Support;c1a0e1b0-0010-4000-8000-000000000001;d2b0e1c0-0001-4000-8000-000000000001;HUR;95.00;EUR;19.00;999;0;true
e1f0a1b0-0013-4000-8000-000000000001;PRD-013;Samsung Galaxy Tab S9;Android Tablet 11 Zoll, 128GB, S Pen inklusive;c1a0e1b0-0003-4000-8000-000000000001;d2b0e1c0-0003-4000-8000-000000000001;PCE;849.00;EUR;19.00;42;10;true
e1f0a1b0-0014-4000-8000-000000000001;PRD-014;HP LaserJet Pro M404dn;S/W Laserdrucker, Duplex, Netzwerk;c1a0e1b0-0002-4000-8000-000000000001;d2b0e1c0-0001-4000-8000-000000000001;PCE;299.00;EUR;19.00;55;10;true
e1f0a1b0-0015-4000-8000-000000000001;PRD-015;Toner HP 59A schwarz;Original HP Toner für LaserJet Pro;c1a0e1b0-0002-4000-8000-000000000001;d2b0e1c0-0001-4000-8000-000000000001;PCE;89.00;EUR;19.00;180;25;true
